TeamName,ABBR,HomeBase
Angels,LAA,Los Angeles
Astros,HOU,Houston
Athletics,OAK,Oakland
BlueJays,TOR,Toronto
Braves,ATL,Atlanta
Brewers,MIL,Milwaukee
Cardinals,STL,St. Louis
Cubs,CHC,Chicago
Diamondbacks,ARI,Arizona
Dodgers,LAD,Los Angeles
Giants,SF,San Francisco
Indians,CLE,Cleveland
Mariners,SEA,Seattle
Marlins,MIA,Florida
Mets,NYM,New York
Nationals,WSN,Washington
Orioles,BAL,Baltimore
Padres,SD,San Diego
Phillies,PHI,Philadelphia
Pirates,PIT,Pittsburgh
Rangers,TEX,Texas
Rays,TB,Tampa
Reds,CIN,Cincinnati
RedSox,BOS,Boston
Rockies,COL,Colorado
Royals,KCR,Kansas City
Tigers,DET,Detroit
Twins,MIN,Minnesota
WhiteSox,CHW,Chicago
Yankees,NYY,New York
